Number,Name,Class,Position,Hometown,Team,Simple.Hometown,Label,Season
31,Ryland Pashovitz,JR,G,"Saskatoon, Saskatchewan",Arizona State,saskatoon saskatchewan,"Arizona State: 31 Ryland Pashovitz - Saskatoon, Saskatchewan (JR-G)",20172018
32,Louie Rowe,JR,F,"East Lansing, Michigan",Arizona State,east lansing michigan,"Arizona State: 32 Louie Rowe - East Lansing, Michigan (JR-F)",20172018
33,Mike DePhillips,FR,G,"Summit, New Jersey",Arizona State,summit new jersey,"Arizona State: 33 Mike DePhillips - Summit, New Jersey (FR-G)",20172018
35,Joey Daccord,SO,G,"Boston, Massachusetts",Arizona State,boston massachusetts,"Arizona State: 35 Joey Daccord - Boston, Massachusetts (SO-G)",20172018
37,Dominic Garcia,FR,F/W,"Las Vegas, Nevada",Arizona State,las vegas nevada,"Arizona State: 37 Dominic Garcia - Las Vegas, Nevada (FR-F/W)",20172018
39,Brinson Pasichnuk,SO,D,"Bonnyville, Alberta",Arizona State,bonnyville alberta,"Arizona State: 39 Brinson Pasichnuk - Bonnyville, Alberta (SO-D)",20172018
44,Joey Raats,JR,D,"Las Vegas, Nevada",Arizona State,las vegas nevada,"Arizona State: 44 Joey Raats - Las Vegas, Nevada (JR-D)",20172018
47,Nicholas Gushue,JR,D,"West Vancouver, British Columbia",Arizona State,west vancouver british columbia,"Arizona State: 47 Nicholas Gushue - West Vancouver, British Columbia (JR-D)",20172018
2,Dalton MacAfee,JR,D,"Needham, Massachusetts",Army,needham massachusetts,"Army: 02 Dalton MacAfee - Needham, Massachusetts (JR-D)",20172018
3,Cody Fleckenstein,FR,D,"Fredonia, New York",Army,fredonia new york,"Army: 03 Cody Fleckenstein - Fredonia, New York (FR-D)",20172018
5,Joe Shecter,SR,D,"Farmington Hills, Michigan",Army,farmington hills michigan,"Army: 05 Joe Shecter - Farmington Hills, Michigan (SR-D)",20172018
6,Nick DeCenzo,SR,F,"Hibbing, Minnesota",Army,hibbing minnesota,"Army: 06 Nick DeCenzo - Hibbing, Minnesota (SR-F)",20172018
7,Alex Wilkinson,SO,D,"Raleigh, North Carolina",Army,raleigh north carolina,"Army: 07 Alex Wilkinson - Raleigh, North Carolina (SO-D)",20172018
8,Bryan Gerstenfeld,SO,D,"Fairfield, Connecticut",Army,fairfield connecticut,"Army: 08 Bryan Gerstenfeld - Fairfield, Connecticut (SO-D)",20172018
9,Tyler Pham,SR,F,"Fort Collins, Colorado",Army,fort collins colorado,"Army: 09 Tyler Pham - Fort Collins, Colorado (SR-F)",20172018
10,Trevor Fidler,JR,F,"Watertown, Massachusetts",Army,watertown massachusetts,"Army: 10 Trevor Fidler - Watertown, Massachusetts (JR-F)",20172018
11,Dominic Franco,SO,F,"Portsmouth, Rhode Island",Army,portsmouth rhode island,"Army: 11 Dominic Franco - Portsmouth, Rhode Island (SO-F)",20172018
12,Blake Box,SR,D,"Dallas, Texas",Army,dallas texas,"Army: 12 Blake Box - Dallas, Texas (SR-D)",20172018
13,Tucker DeYoung,FR,F,"Lake Bluff, Illinois",Army,lake bluff illinois,"Army: 13 Tucker DeYoung - Lake Bluff, Illinois (FR-F)",20172018
14,Brendan Soucie,SO,F,"South Dennis, Massachusetts",Army,south dennis massachusetts,"Army: 14 Brendan Soucie - South Dennis, Massachusetts (SO-F)",20172018
16,Brendan McGuire,SR,F,"Flower Mound, Texas",Army,flower mound texas,"Army: 16 Brendan McGuire - Flower Mound, Texas (SR-F)",20172018
17,Taylor Maruya,JR,F,"Westchester, California",Army,westchester california,"Army: 17 Taylor Maruya - Westchester, California (JR-F)",20172018
18,Zach Evancho,SO,F,"Buffalo, New York",Army,buffalo new york,"Army: 18 Zach Evancho - Buffalo, New York (SO-F)",20172018
19,Tipper Higgins,JR,F,"Williston, Vermont",Army,williston vermont,"Army: 19 Tipper Higgins - Williston, Vermont (JR-F)",20172018
20,Conor Andrle,SR,F,"St. Louis Park, Minnesota",Army,st louis park minnesota,"Army: 20 Conor Andrle - St. Louis Park, Minnesota (SR-F)",20172018
21,John Zimmerman,FR,D,"Arlington, Texas",Army,arlington texas,"Army: 21 John Zimmerman - Arlington, Texas (FR-D)",20172018
22,Ian Mansfield,JR,F,"Lakewood, Colorado",Army,lakewood colorado,"Army: 22 Ian Mansfield - Lakewood, Colorado (JR-F)",20172018
23,Mason Krueger,FR,F,"Bettendorf, Iowa",Army,bettendorf iowa,"Army: 23 Mason Krueger - Bettendorf, Iowa (FR-F)",20172018
24,Kevin Dineen,FR,F,"Faribault, Minnesota",Army,faribault minnesota,"Army: 24 Kevin Dineen - Faribault, Minnesota (FR-F)",20172018
25,Nash Worden,JR,D,"Kaysville, Utah",Army,kaysville utah,"Army: 25 Nash Worden - Kaysville, Utah (JR-D)",20172018
26,Matt Berkovitz,FR,D,"Green Bay, Wisconsin",Army,green bay wisconsin,"Army: 26 Matt Berkovitz - Green Bay, Wisconsin (FR-D)",20172018
27,Michael Wilson,SO,F,"Fond du Lac, Wisconsin",Army,fond du lac wisconsin,"Army: 27 Michael Wilson - Fond du Lac, Wisconsin (SO-F)",20172018
28,John Laurito,FR,F,"Johnstown, Rhode Island",Army,johnstown rhode island,"Army: 28 John Laurito - Johnstown, Rhode Island (FR-F)",20172018
29,Mike Preston,SR,D,"Carmel, Indiana",Army,carmel indiana,"Army: 29 Mike Preston - Carmel, Indiana (SR-D)",20172018
30,Cole Bruns,SR,G,"Prairie Grove, Illinois",Army,prairie grove illinois,"Army: 30 Cole Bruns - Prairie Grove, Illinois (SR-G)",20172018
31,Jared Dempsey,FR,G,"Grosse Pointe Farms, Michigan",Army,grosse pointe farms michigan,"Army: 31 Jared Dempsey - Grosse Pointe Farms, Michigan (FR-G)",20172018
33,Trevin Kozlowski,FR,G,"Valencia, California",Army,valencia california,"Army: 33 Trevin Kozlowski - Valencia, California (FR-G)",20172018
1,Michael Bitzer,SR,G,"Moorhead, Minnesota",Bemidji State,moorhead minnesota,"Bemidji State: 01 Michael Bitzer - Moorhead, Minnesota (SR-G)",20172018
2,Dan Billett,JR,D,"Higlands Ranch, Colorado",Bemidji State,higlands ranch colorado,"Bemidji State: 02 Dan Billett - Higlands Ranch, Colorado (JR-D)",20172018
3,Tommy Muck,SO,D,"Inver Grove Heights, Minnesota",Bemidji State,inver grove heights minnesota,"Bemidji State: 03 Tommy Muck - Inver Grove Heights, Minnesota (SO-D)",20172018
4,Carter Struthers,SR,D,"Weyburn, Saskatchewan",Bemidji State,weyburn saskatchewan,"Bemidji State: 04 Carter Struthers - Weyburn, Saskatchewan (SR-D)",20172018
5,Ian Janco,JR,D,"Bloomington, Minnesota",Bemidji State,bloomington minnesota,"Bemidji State: 05 Ian Janco - Bloomington, Minnesota (JR-D)",20172018
6,Jay Dickman,JR,F,"Shoreview, Minnesota",Bemidji State,shoreview minnesota,"Bemidji State: 06 Jay Dickman - Shoreview, Minnesota (JR-F)",20172018
7,T.J. Roo,JR,F,"Champlin, Minnesota",Bemidji State,champlin minnesota,"Bemidji State: 07 T.J. Roo - Champlin, Minnesota (JR-F)",20172018
8,Brendan Harris,FR,F,"Henderson, Nevada",Bemidji State,henderson nevada,"Bemidji State: 08 Brendan Harris - Henderson, Nevada (FR-F)",20172018
9,Ethan Somoza,FR,F,"Simi Valley, California",Bemidji State,simi valley california,"Bemidji State: 09 Ethan Somoza - Simi Valley, California (FR-F)",20172018
11,Charlie Combs,FR,F,"St. Louis, Missouri",Bemidji State,st louis missouri,"Bemidji State: 11 Charlie Combs - St. Louis, Missouri (FR-F)",20172018
12,Dylan McCrory,SO,F,"Kirkland, Quebec",Bemidji State,kirkland quebec,"Bemidji State: 12 Dylan McCrory - Kirkland, Quebec (SO-F)",20172018
13,Mike Soucier,JR,F,"Caledon, Ontario",Bemidji State,caledon ontario,"Bemidji State: 13 Mike Soucier - Caledon, Ontario (JR-F)",20172018
14,Kyle Bauman,SR,F,"Apopka, Florida",Bemidji State,apopka florida,"Bemidji State: 14 Kyle Bauman - Apopka, Florida (SR-F)",20172018
15,Jordan Heller,SR,F,"Bemidji, Minnesota",Bemidji State,bemidji minnesota,"Bemidji State: 15 Jordan Heller - Bemidji, Minnesota (SR-F)",20172018
16,Aaron Miller,FR,F,"Superior, Wisconsin",Bemidji State,superior wisconsin,"Bemidji State: 16 Aaron Miller - Superior, Wisconsin (FR-F)",20172018
18,Brad Johnson,FR,D,"Chesterfield, Missouri",Bemidji State,chesterfield missouri,"Bemidji State: 18 Brad Johnson - Chesterfield, Missouri (FR-D)",20172018
19,Leo Fitzgerald,SR,F,"Port Alberni, British Columbia",Bemidji State,port alberni british columbia,"Bemidji State: 19 Leo Fitzgerald - Port Alberni, British Columbia (SR-F)",20172018
20,Dillon Eichstadt,JR,D,"Bemidji, Minnesota",Bemidji State,bemidji minnesota,"Bemidji State: 20 Dillon Eichstadt - Bemidji, Minnesota (JR-D)",20172018
21,Gerry Fitzgerald,SR,F,"Port Alberni, British Columbia",Bemidji State,port alberni british columbia,"Bemidji State: 21 Gerry Fitzgerald - Port Alberni, British Columbia (SR-F)",20172018
22,Tyler Vold,FR,D,"Andover, Minnesota",Bemidji State,andover minnesota,"Bemidji State: 22 Tyler Vold - Andover, Minnesota (FR-D)",20172018
23,Hampus SjA?dahl,SO,F,"Stockholm, Sweden",Bemidji State,stockholm sweden,"Bemidji State: 23 Hampus SjA?dahl - Stockholm, Sweden (SO-F)",20172018
26,Myles Fitzgerald,SR,F,"Port Alberni, British Columbia",Bemidji State,port alberni british columbia,"Bemidji State: 26 Myles Fitzgerald - Port Alberni, British Columbia (SR-F)",20172018
27,Adam Brady,SO,F,"Delhi, Ontario",Bemidji State,delhi ontario,"Bemidji State: 27 Adam Brady - Delhi, Ontario (SO-F)",20172018
28,Connor Brown-Maloski,FR,F,"Kamloops, British Columbia",Bemidji State,kamloops british columbia,"Bemidji State: 28 Connor Brown-Maloski - Kamloops, British Columbia (FR-F)",20172018
29,Justin Baudry,JR,D,"LaBroquerie, Manitoba",Bemidji State,labroquerie manitoba,"Bemidji State: 29 Justin Baudry - LaBroquerie, Manitoba (JR-D)",20172018
30,Jack Burgart,SO,G,"Fort St. James, British Columbia",Bemidji State,fort st james british columbia,"Bemidji State: 30 Jack Burgart - Fort St. James, British Columbia (SO-G)",20172018
32,Zach Whitecloud,SO,D,"Brandon, Manitoba",Bemidji State,brandon manitoba,"Bemidji State: 32 Zach Whitecloud - Brandon, Manitoba (SO-D)",20172018
35,Henry Johnson,FR,G,"Minneapolis, Minnesota",Bemidji State,minneapolis minnesota,"Bemidji State: 35 Henry Johnson - Minneapolis, Minnesota (FR-G)",20172018
2,Nick Rutigliano,FR,D,"Shrewsbury, Massachusetts",Bentley,shrewsbury massachusetts,"Bentley: 02 Nick Rutigliano - Shrewsbury, Massachusetts (FR-D)",20172018
4,Tanner Jago,JR,D,"Brandon, Manitoba",Bentley,brandon manitoba,"Bentley: 04 Tanner Jago - Brandon, Manitoba (JR-D)",20172018
5,Chris Buchanan,SR,D,"San Jose, California",Bentley,san jose california,"Bentley: 05 Chris Buchanan - San Jose, California (SR-D)",20172018
6,Brendan Hamblet,FR,F,"Hopkinton, Massachusetts",Bentley,hopkinton massachusetts,"Bentley: 06 Brendan Hamblet - Hopkinton, Massachusetts (FR-F)",20172018
7,Connor Brassard,SO,D,"Fitchburg, Massachusetts",Bentley,fitchburg massachusetts,"Bentley: 07 Connor Brassard - Fitchburg, Massachusetts (SO-D)",20172018
9,Ryan McMurphy,SR,F,"Broken Arrow, Oklahoma",Bentley,broken arrow oklahoma,"Bentley: 09 Ryan McMurphy - Broken Arrow, Oklahoma (SR-F)",20172018
12,David Giunta,FR,D,"Lynnfield, Massachusetts",Bentley,lynnfield massachusetts,"Bentley: 12 David Giunta - Lynnfield, Massachusetts (FR-D)",20172018
13,Andrew McDonald,SR,F,"New Brighton, Minnesota",Bentley,new brighton minnesota,"Bentley: 13 Andrew McDonald - New Brighton, Minnesota (SR-F)",20172018
14,Matt Lombardozzi,FR,D,"Leominster, Massachusetts",Bentley,leominster massachusetts,"Bentley: 14 Matt Lombardozzi - Leominster, Massachusetts (FR-D)",20172018
15,Luke Santerno,FR,F,"Smithers, British Columbia",Bentley,smithers british columbia,"Bentley: 15 Luke Santerno - Smithers, British Columbia (FR-F)",20172018
17,Michael Zuffante,FR,F,"Bloomingdale, Illinois",Bentley,bloomingdale illinois,"Bentley: 17 Michael Zuffante - Bloomingdale, Illinois (FR-F)",20172018
18,Brett Orr,SO,D,"Elkhorn, Manitoba",Bentley,elkhorn manitoba,"Bentley: 18 Brett Orr - Elkhorn, Manitoba (SO-D)",20172018
19,Jake Kauppila,SO,F,"Gurnee, Illinois",Bentley,gurnee illinois,"Bentley: 19 Jake Kauppila - Gurnee, Illinois (SO-F)",20172018
20,Kyle Schmidt,SR,F,"Menomonee Falls, Wisconsin",Bentley,menomonee falls wisconsin,"Bentley: 20 Kyle Schmidt - Menomonee Falls, Wisconsin (SR-F)",20172018
21,Jonathan Desbiens,SO,F,"Montreal, Quebec",Bentley,montreal quebec,"Bentley: 21 Jonathan Desbiens - Montreal, Quebec (SO-F)",20172018
22,Ryner Gorowsky,SO,F,"Lino Lakes, Minnesota",Bentley,lino lakes minnesota,"Bentley: 22 Ryner Gorowsky - Lino Lakes, Minnesota (SO-F)",20172018
23,Matt Riggleman,SO,F,"Milford, Michigan",Bentley,milford michigan,"Bentley: 23 Matt Riggleman - Milford, Michigan (SO-F)",20172018
24,Alexey Solovyev,JR,D,"Moscow, Russia",Bentley,moscow russia,"Bentley: 24 Alexey Solovyev - Moscow, Russia (JR-D)",20172018
25,Cody DePourcq,JR,F,"Penticton, British Columbia",Bentley,penticton british columbia,"Bentley: 25 Cody DePourcq - Penticton, British Columbia (JR-F)",20172018
26,Matt Sieckhaus,SR,F,"St. Louis, Missouri",Bentley,st louis missouri,"Bentley: 26 Matt Sieckhaus - St. Louis, Missouri (SR-F)",20172018
27,Drew Callin,JR,F,"Middleton, Wisconsin",Bentley,middleton wisconsin,"Bentley: 27 Drew Callin - Middleton, Wisconsin (JR-F)",20172018
28,Charlie Marchand,FR,D,"Calgary, Alberta",Bentley,calgary alberta,"Bentley: 28 Charlie Marchand - Calgary, Alberta (FR-D)",20172018
29,Jake Bryniarski,JR,G,"Rochester, New York",Bentley,rochester new york,"Bentley: 29 Jake Bryniarski - Rochester, New York (JR-G)",20172018
30,Aidan Pelino,SO,G,"Oakville, Ontario",Bentley,oakville ontario,"Bentley: 30 Aidan Pelino - Oakville, Ontario (SO-G)",20172018
32,Jayson Argue,SR,G,"Swan River, Manitoba",Bentley,swan river manitoba,"Bentley: 32 Jayson Argue - Swan River, Manitoba (SR-G)",20172018
2,Michael Karow,FR,D,"Green Bay, Wisconsin",Boston College,green bay wisconsin,"Boston College: 02 Michael Karow - Green Bay, Wisconsin (FR-D)",20172018
3,Luke McInnis,SO,D,"Hingham, Massachusetts",Boston College,hingham massachusetts,"Boston College: 03 Luke McInnis - Hingham, Massachusetts (SO-D)",20172018
4,Michael Kim,JR,D,"Toronto, Ontario",Boston College,toronto ontario,"Boston College: 04 Michael Kim - Toronto, Ontario (JR-D)",20172018
5,Casey Fitzgerald,JR,D,"North Reading, Massachusetts",Boston College,north reading massachusetts,"Boston College: 05 Casey Fitzgerald - North Reading, Massachusetts (JR-D)",20172018
7,Connor Moore,SO,D,"Cumming, Georgia",Boston College,cumming georgia,"Boston College: 07 Connor Moore - Cumming, Georgia (SO-D)",20172018
8,Jesper Mattila,SO,D,"Tampere, Finland",Boston College,tampere finland,"Boston College: 08 Jesper Mattila - Tampere, Finland (SO-D)",20172018
9,Logan Hutsko,FR,F,"Tampa, Florida",Boston College,tampa florida,"Boston College: 09 Logan Hutsko - Tampa, Florida (FR-F)",20172018
10,Christopher Brown,JR,F,"Bloomfield Hills, Michigan",Boston College,bloomfield hills michigan,"Boston College: 10 Christopher Brown - Bloomfield Hills, Michigan (JR-F)",20172018
12,Mike Booth,SO,F,"Carey, Illinois",Boston College,carey illinois,"Boston College: 12 Mike Booth - Carey, Illinois (SO-F)",20172018
14,Zach Walker,SO,F,"Boise, Idaho",Boston College,boise idaho,"Boston College: 14 Zach Walker - Boise, Idaho (SO-F)",20172018
15,JD Dudek,JR,F,"Auburn, New Hampshire",Boston College,auburn new hampshire,"Boston College: 15 JD Dudek - Auburn, New Hampshire (JR-F)",20172018
17,David Cotton,SO,F,"Parker, Texas",Boston College,parker texas,"Boston College: 17 David Cotton - Parker, Texas (SO-F)",20172018
18,Casey Carreau,FR,F,"Acushnet, Massachusetts",Boston College,acushnet massachusetts,"Boston College: 18 Casey Carreau - Acushnet, Massachusetts (FR-F)",20172018
19,Jacob Tortora,FR,F,"Victor, New York",Boston College,victor new york,"Boston College: 19 Jacob Tortora - Victor, New York (FR-F)",20172018
20,Mike Merulla,SO,F,"Kennett Square, Pennsylvania",Boston College,kennett square pennsylvania,"Boston College: 20 Mike Merulla - Kennett Square, Pennsylvania (SO-F)",20172018
21,Christopher Grando,FR,F,"Islip, New York",Boston College,islip new york,"Boston College: 21 Christopher Grando - Islip, New York (FR-F)",20172018
22,Aapeli RasA$nen,FR,F,"Tampere, Finland",Boston College,tampere finland,"Boston College: 22 Aapeli RasA$nen - Tampere, Finland (FR-F)",20172018
24,Kevin Lohan,SR,D,"Cold Spring Harbor, New York",Boston College,cold spring harbor new york,"Boston College: 24 Kevin Lohan - Cold Spring Harbor, New York (SR-D)",20172018
26,Julius Mattila,SO,F,"Tampere, Finland",Boston College,tampere finland,"Boston College: 26 Julius Mattila - Tampere, Finland (SO-F)",20172018
27,Graham McPhee,SO,F,"Las Vegas, Nevada",Boston College,las vegas nevada,"Boston College: 27 Graham McPhee - Las Vegas, Nevada (SO-F)",20172018
28,Ron Greco,SO,F,"Philadelphia, Pennsylvania",Boston College,philadelphia pennsylvania,"Boston College: 28 Ron Greco - Philadelphia, Pennsylvania (SO-F)",20172018
29,Ian Milsoz,JR,G,"North Grafton, Massachusetts",Boston College,north grafton massachusetts,"Boston College: 29 Ian Milsoz - North Grafton, Massachusetts (JR-G)",20172018
31,Joseph Woll,SO,G,"Dardenne Prairie, Missouri",Boston College,dardenne prairie missouri,"Boston College: 31 Joseph Woll - Dardenne Prairie, Missouri (SO-G)",20172018
35,Ryan Edquist,SO,G,"Lakeville, Minnesota",Boston College,lakeville minnesota,"Boston College: 35 Ryan Edquist - Lakeville, Minnesota (SO-G)",20172018
1,Nico Lynch,SO,G,"Barnstable, Massachusetts",Boston University,barnstable massachusetts,"Boston University: 01 Nico Lynch - Barnstable, Massachusetts (SO-G)",20172018
2,Shane Switzer,JR,D,"Bloomfield Hills, Michigan",Boston University,bloomfield hills michigan,"Boston University: 02 Shane Switzer - Bloomfield Hills, Michigan (JR-D)",20172018
3,Ty Amonte,FR,F,"Norwell, Massachusetts",Boston University,norwell massachusetts,"Boston University: 03 Ty Amonte - Norwell, Massachusetts (FR-F)",20172018
4,Brandon Hickey,SR,D,"Leduc, Alberta",Boston University,leduc alberta,"Boston University: 04 Brandon Hickey - Leduc, Alberta (SR-D)",20172018
5,Cam Crotty,FR,D,"Greely, Ontario",Boston University,greely ontario,"Boston University: 05 Cam Crotty - Greely, Ontario (FR-D)",20172018
7,Chad Krys,SO,D,"Ridgefield, Connecticut",Boston University,ridgefield connecticut,"Boston University: 07 Chad Krys - Ridgefield, Connecticut (SO-D)",20172018
8,Ryan Cloonan,JR,F,"East Longmeadow, Massachusetts",Boston University,east longmeadow massachusetts,"Boston University: 08 Ryan Cloonan - East Longmeadow, Massachusetts (JR-F)",20172018
9,Logan Cockerill,FR,F,"Brighton, Michigan",Boston University,brighton michigan,"Boston University: 09 Logan Cockerill - Brighton, Michigan (FR-F)",20172018
10,Gabriel Chabot,SO,F,"Quebec City, Quebec",Boston University,quebec city quebec,"Boston University: 10 Gabriel Chabot - Quebec City, Quebec (SO-F)",20172018
11,Patrick Curry,SO,F,"Schaumburg, Illinois",Boston University,schaumburg illinois,"Boston University: 11 Patrick Curry - Schaumburg, Illinois (SO-F)",20172018
12,Chase Phelps,SR,F,"Edina, Minnesota",Boston University,edina minnesota,"Boston University: 12 Chase Phelps - Edina, Minnesota (SR-F)",20172018
13,Nikolas Olsson,SR,F,"Escondido, California",Boston University,escondido california,"Boston University: 13 Nikolas Olsson - Escondido, California (SR-F)",20172018
14,Bobo Carpenter,JR,F,"North Reading, Massachusetts",Boston University,north reading massachusetts,"Boston University: 14 Bobo Carpenter - North Reading, Massachusetts (JR-F)",20172018
15,Shane Bowers,FR,F,"Halifax, Nova Scotia",Boston University,halifax nova scotia,"Boston University: 15 Shane Bowers - Halifax, Nova Scotia (FR-F)",20172018
16,John MacLeod,SR,D,"Dracut, Massachusetts",Boston University,dracut massachusetts,"Boston University: 16 John MacLeod - Dracut, Massachusetts (SR-D)",20172018
17,Dante Fabbro,SO,D,"New Westminster, British Columbia",Boston University,new westminster british columbia,"Boston University: 17 Dante Fabbro - New Westminster, British Columbia (SO-D)",20172018
18,Jordan Greenway,JR,F,"Canton, New York",Boston University,canton new york,"Boston University: 18 Jordan Greenway - Canton, New York (JR-F)",20172018
19,Hank Crone,FR,F,"Dallas, Texas",Boston University,dallas texas,"Boston University: 19 Hank Crone - Dallas, Texas (FR-F)",20172018
20,Brien Diffley,SR,D,"Burlington, Massachusetts",Boston University,burlington massachusetts,"Boston University: 20 Brien Diffley - Burlington, Massachusetts (SR-D)",20172018
21,Patrick Harper,SO,F,"New Canaan, Connecticut",Boston University,new canaan connecticut,"Boston University: 21 Patrick Harper - New Canaan, Connecticut (SO-F)",20172018
22,Jake Witkowski,FR,F,"Melrose, Massachusetts",Boston University,melrose massachusetts,"Boston University: 22 Jake Witkowski - Melrose, Massachusetts (FR-F)",20172018
