"Number","Name","Class","Position","Hometown","Team","Simple.Hometown","Label"
29,"Kyle Nickerson","SR","F","Weston, Massachusetts","Dartmouth","weston massachusetts","Dartmouth: 29 Kyle Nickerson - Weston, Massachusetts (SR-F)"
30,"Dean Shatzer","FR","G","Castle Rock, Colorado","Dartmouth","castle rock colorado","Dartmouth: 30 Dean Shatzer - Castle Rock, Colorado (FR-G)"
33,"Devin Buffalo","JR","G","Wetaskiwin, Alberta","Dartmouth","wetaskiwin alberta","Dartmouth: 33 Devin Buffalo - Wetaskiwin, Alberta (JR-G)"
35,"Adrian Clark","FR","G","Toronto, Ontario","Dartmouth","toronto ontario","Dartmouth: 35 Adrian Clark - Toronto, Ontario (FR-G)"
2,"Erich Fear","FR","D","Winnetka, Illinois","Denver","winnetka illinois","Denver: 02 Erich Fear - Winnetka, Illinois (FR-D)"
3,"Tariq Hammond","JR","D","Calgary, Alberta","Denver","calgary alberta","Denver: 03 Tariq Hammond - Calgary, Alberta (JR-D)"
4,"Will Butcher","SR","D","Sun Prairie, Wisconsin","Denver","sun prairie wisconsin","Denver: 04 Will Butcher - Sun Prairie, Wisconsin (SR-D)"
5,"Henrik Borgstr m","FR","F","Helsinki, Finland","Denver","helsinki finland","Denver: 05 Henrik Borgstr m - Helsinki, Finland (FR-F)"
6,"Matt VanVoorhis","SR","D","Edina, Minnesota","Denver","edina minnesota","Denver: 06 Matt VanVoorhis - Edina, Minnesota (SR-D)"
7,"Dylan Gambrell","SO","F","Bonney Lake, Washington","Denver","bonney lake washington","Denver: 07 Dylan Gambrell - Bonney Lake, Washington (SO-F)"
9,"Tyson McLellan","FR","F","San Jose, California","Denver","san jose california","Denver: 09 Tyson McLellan - San Jose, California (FR-F)"
10,"Kevin Conley","FR","F","Wasau, Wisconsin","Denver","wasau wisconsin","Denver: 10 Kevin Conley - Wasau, Wisconsin (FR-F)"
13,"Liam Finlay","FR","F","Kelowna, British Columbia","Denver","kelowna british columbia","Denver: 13 Liam Finlay - Kelowna, British Columbia (FR-F)"
14,"Jarid Lukosevicius","SO","F","Squamish, British Columbia","Denver","squamish british columbia","Denver: 14 Jarid Lukosevicius - Squamish, British Columbia (SO-F)"
15,"Evan Ritt","SR","F","Lakewood, Colorado","Denver","lakewood colorado","Denver: 15 Evan Ritt - Lakewood, Colorado (SR-F)"
17,"Rudy Junda","JR","F","Denver, Colorado","Denver","denver colorado","Denver: 17 Rudy Junda - Denver, Colorado (JR-F)"
18,"Emil Romig","SR","F","Vienna, Austria","Denver","vienna austria","Denver: 18 Emil Romig - Vienna, Austria (SR-F)"
19,"Troy Terry","SO","F","Denver, Colorado","Denver","denver colorado","Denver: 19 Troy Terry - Denver, Colorado (SO-F)"
21,"Michael Davies","FR","D","St. Louis, Missouri","Denver","st louis missouri","Denver: 21 Michael Davies - St. Louis, Missouri (FR-D)"
22,"Logan O'Connor","SO","F","Calgary, Alberta","Denver","calgary alberta","Denver: 22 Logan O'Connor - Calgary, Alberta (SO-F)"
23,"Matt Marcinew","SR","F","Calgary, Alberta","Denver","calgary alberta","Denver: 23 Matt Marcinew - Calgary, Alberta (SR-F)"
24,"Colin Staub","SO","F","Colorado Springs, Colorado","Denver","colorado springs colorado","Denver: 24 Colin Staub - Colorado Springs, Colorado (SO-F)"
25,"Blake Hillman","SO","D","Elk River, Minnesota","Denver","elk river minnesota","Denver: 25 Blake Hillman - Elk River, Minnesota (SO-D)"
26,"Evan Janssen","SR","F","Green Bay, Wisconsin","Denver","green bay wisconsin","Denver: 26 Evan Janssen - Green Bay, Wisconsin (SR-F)"
27,"Sean Mostrom","SO","D","Wayzata, Minnesota","Denver","wayzata minnesota","Denver: 27 Sean Mostrom - Wayzata, Minnesota (SO-D)"
28,"Adam Plant","JR","D","Penticton, British Columbia","Denver","penticton british columbia","Denver: 28 Adam Plant - Penticton, British Columbia (JR-D)"
29,"Brad Hawkinson","JR","F","Aurora, Colorado","Denver","aurora colorado","Denver: 29 Brad Hawkinson - Aurora, Colorado (JR-F)"
30,"Greg Ogard","SR","G","Wilmette, Illinois","Denver","wilmette illinois","Denver: 30 Greg Ogard - Wilmette, Illinois (SR-G)"
31,"Evan Cowley","SR","G","Arvada, Colorado","Denver","arvada colorado","Denver: 31 Evan Cowley - Arvada, Colorado (SR-G)"
33,"Patrick Munson","SO","G","Hugo, Minnesota","Denver","hugo minnesota","Denver: 33 Patrick Munson - Hugo, Minnesota (SO-G)"
36,"Tanner Jaillet","JR","G","Red Deer, Alberta","Denver","red deer alberta","Denver: 36 Tanner Jaillet - Red Deer, Alberta (JR-G)"
1,"Darren Smith","SO","G","Barrie, Ontario","Ferris State","barrie ontario","Ferris State: 01 Darren Smith - Barrie, Ontario (SO-G)"
2,"Taylor Fernandez","FR","F","Northville, Michigan","Ferris State","northville michigan","Ferris State: 02 Taylor Fernandez - Northville, Michigan (FR-F)"
3,"Cameron Clarke","FR","D","Tecumseh, Michigan","Ferris State","tecumseh michigan","Ferris State: 03 Cameron Clarke - Tecumseh, Michigan (FR-D)"
4,"Zach Yoder","SO","D","Woodstock, Georgia","Ferris State","woodstock georgia","Ferris State: 04 Zach Yoder - Woodstock, Georgia (SO-D)"
5,"Tyler Dorantes","JR","D","Waterford, Michigan","Ferris State","waterford michigan","Ferris State: 05 Tyler Dorantes - Waterford, Michigan (JR-D)"
6,"Jasen Fernsler","SO","F","Charlotte, Michigan","Ferris State","charlotte michigan","Ferris State: 06 Jasen Fernsler - Charlotte, Michigan (SO-F)"
7,"Ryker Killins","SO","D","Wawa, Ontario","Ferris State","wawa ontario","Ferris State: 07 Ryker Killins - Wawa, Ontario (SO-D)"
8,"Andrew Dorantes","JR","F","Waterford, Michigan","Ferris State","waterford michigan","Ferris State: 08 Andrew Dorantes - Waterford, Michigan (JR-F)"
9,"Chad McDonald","SR","F","Battle Creek, Michigan","Ferris State","battle creek michigan","Ferris State: 09 Chad McDonald - Battle Creek, Michigan (SR-F)"
10,"Ryan Lowney","SR","D","Redford, Michigan","Ferris State","redford michigan","Ferris State: 10 Ryan Lowney - Redford, Michigan (SR-D)"
11,"Dominic Lutz","FR","F","Livonia, Michigan","Ferris State","livonia michigan","Ferris State: 11 Dominic Lutz - Livonia, Michigan (FR-F)"
12,"Trevor Recktenwald","SO","F","Venetia, Pennsylvania","Ferris State","venetia pennsylvania","Ferris State: 12 Trevor Recktenwald - Venetia, Pennsylvania (SO-F)"
15,"Mitch Maloney","JR","F","Macomb, Michigan","Ferris State","macomb michigan","Ferris State: 15 Mitch Maloney - Macomb, Michigan (JR-F)"
16,"Tyler Andrew","JR","F","Bethel Park, Pennsylvania","Ferris State","bethel park pennsylvania","Ferris State: 16 Tyler Andrew - Bethel Park, Pennsylvania (JR-F)"
17,"Jared VanWormer","SR","F","Traverse City, Michigan","Ferris State","traverse city michigan","Ferris State: 17 Jared VanWormer - Traverse City, Michigan (SR-F)"
18,"Zach Szajner","JR","F","White Lake, Michigan","Ferris State","white lake michigan","Ferris State: 18 Zach Szajner - White Lake, Michigan (JR-F)"
19,"Andrew Mayer","JR","F","Troy, Michigan","Ferris State","troy michigan","Ferris State: 19 Andrew Mayer - Troy, Michigan (JR-F)"
20,"Gerald Mayhew","SR","F","Wyandotte, Michigan","Ferris State","wyandotte michigan","Ferris State: 20 Gerald Mayhew - Wyandotte, Michigan (SR-F)"
21,"Corey Mackin","SO","F","Philadelphia, Pennsylvania","Ferris State","philadelphia pennsylvania","Ferris State: 21 Corey Mackin - Philadelphia, Pennsylvania (SO-F)"
22,"Jason Tackett","FR","F","West Chester, Ohio","Ferris State","west chester ohio","Ferris State: 22 Jason Tackett - West Chester, Ohio (FR-F)"
23,"Nate Kallen","FR","D","San Diego, California","Ferris State","san diego california","Ferris State: 23 Nate Kallen - San Diego, California (FR-D)"
24,"Craig Pefley","FR","F","St. Clair, Michigan","Ferris State","st clair michigan","Ferris State: 24 Craig Pefley - St. Clair, Michigan (FR-F)"
25,"Chris Allemon","FR","D","St. Clair Shores, Michigan","Ferris State","st clair shores michigan","Ferris State: 25 Chris Allemon - St. Clair Shores, Michigan (FR-D)"
26,"Joe Rutkowski","FR","D","Crystal Lake, Illinois","Ferris State","crystal lake illinois","Ferris State: 26 Joe Rutkowski - Crystal Lake, Illinois (FR-D)"
27,"Zac Tierney","SO","D","London, Ontario","Ferris State","london ontario","Ferris State: 27 Zac Tierney - London, Ontario (SO-D)"
28,"Jacob Hetz","SO","F","Glenshaw, Pennsylvania","Ferris State","glenshaw pennsylvania","Ferris State: 28 Jacob Hetz - Glenshaw, Pennsylvania (SO-F)"
31,"Trace Pennock","JR","G","Big Rapids, Michigan","Ferris State","big rapids michigan","Ferris State: 31 Trace Pennock - Big Rapids, Michigan (JR-G)"
35,"Justin Kapelmaster","FR","G","Coral Springs, Florida","Ferris State","coral springs florida","Ferris State: 35 Justin Kapelmaster - Coral Springs, Florida (FR-G)"
1,"Sihak Lee","FR","G","Cambridge, Massachusetts","Harvard","cambridge massachusetts","Harvard: 01 Sihak Lee - Cambridge, Massachusetts (FR-G)"
2,"Tyler Moy","SR","F","San Diego, California","Harvard","san diego california","Harvard: 02 Tyler Moy - San Diego, California (SR-F)"
3,"Ryan Begoon","JR","D","New Canaan, Connecticut","Harvard","new canaan connecticut","Harvard: 03 Ryan Begoon - New Canaan, Connecticut (JR-D)"
5,"Clay Anderson","SR","D","Omaha, Nebraska","Harvard","omaha nebraska","Harvard: 05 Clay Anderson - Omaha, Nebraska (SR-D)"
6,"Colton Kerfoot","FR","F","West Vancouver, British Columbia","Harvard","west vancouver british columbia","Harvard: 06 Colton Kerfoot - West Vancouver, British Columbia (FR-F)"
7,"Eddie Ellis","JR","F","Burlington, Massachusetts","Harvard","burlington massachusetts","Harvard: 07 Eddie Ellis - Burlington, Massachusetts (JR-F)"
8,"Victor Newell","SR","D","Burnaby, British Columbia","Harvard","burnaby british columbia","Harvard: 08 Victor Newell - Burnaby, British Columbia (SR-D)"
9,"Luke Esposito","SR","F","Greenwich, Connecticut","Harvard","greenwich connecticut","Harvard: 09 Luke Esposito - Greenwich, Connecticut (SR-F)"
11,"Ty Pelton-Byce","FR","F","Madison, Wisconsin","Harvard","madison wisconsin","Harvard: 11 Ty Pelton-Byce - Madison, Wisconsin (FR-F)"
12,"John Marino","FR","D","North Easton, Massachusetts","Harvard","north easton massachusetts","Harvard: 12 John Marino - North Easton, Massachusetts (FR-D)"
13,"Nathan Krusko","FR","F","Alpharetta, Georgia","Harvard","alpharetta georgia","Harvard: 13 Nathan Krusko - Alpharetta, Georgia (FR-F)"
14,"Alexander Kerfoot","SR","F","West Vancouver, British Columbia","Harvard","west vancouver british columbia","Harvard: 14 Alexander Kerfoot - West Vancouver, British Columbia (SR-F)"
15,"Seb Lloyd","JR","F","Prince George, British Columbia","Harvard","prince george british columbia","Harvard: 15 Seb Lloyd - Prince George, British Columbia (JR-F)"
16,"Ryan Donato","SO","F","Boston, Massachusetts","Harvard","boston massachusetts","Harvard: 16 Ryan Donato - Boston, Massachusetts (SO-F)"
17,"Sean Malone","SR","F","West Seneca, New York","Harvard","west seneca new york","Harvard: 17 Sean Malone - West Seneca, New York (SR-F)"
18,"Adam Fox","FR","D","Jericho, New York","Harvard","jericho new york","Harvard: 18 Adam Fox - Jericho, New York (FR-D)"
19,"Jake Horton","JR","D","Lake Elmo, Minnesota","Harvard","lake elmo minnesota","Harvard: 19 Jake Horton - Lake Elmo, Minnesota (JR-D)"
20,"Adam Baughman","SO","D","Chicago, Illinois","Harvard","chicago illinois","Harvard: 20 Adam Baughman - Chicago, Illinois (SO-D)"
21,"Justin Szeto","FR","F","Vancouver, British Columbia","Harvard","vancouver british columbia","Harvard: 21 Justin Szeto - Vancouver, British Columbia (FR-F)"
22,"Devin Tringale","SR","F","Medford, Massachusetts","Harvard","medford massachusetts","Harvard: 22 Devin Tringale - Medford, Massachusetts (SR-F)"
25,"Wiley Sherman","JR","D","Greenwich, Connecticut","Harvard","greenwich connecticut","Harvard: 25 Wiley Sherman - Greenwich, Connecticut (JR-D)"
26,"Jacob Olson","SO","D","Saint Paul, Minnesota","Harvard","saint paul minnesota","Harvard: 26 Jacob Olson - Saint Paul, Minnesota (SO-D)"
27,"Viktor Dombrovskiy","SO","D","Coquitlam, British Columbia","Harvard","coquitlam british columbia","Harvard: 27 Viktor Dombrovskiy - Coquitlam, British Columbia (SO-D)"
31,"Merrick Madsen","JR","G","Acton, California","Harvard","acton california","Harvard: 31 Merrick Madsen - Acton, California (JR-G)"
32,"Cameron Gornet","FR","G","St. Louis, Missouri","Harvard","st louis missouri","Harvard: 32 Cameron Gornet - St. Louis, Missouri (FR-G)"
35,"Michael Lackey","SO","G","Washington, District of Columbia","Harvard","washington district of columbia","Harvard: 35 Michael Lackey - Washington, District of Columbia (SO-G)"
38,"Thomas Aiken","JR","D","Whitefish Bay, Wisconsin","Harvard","whitefish bay wisconsin","Harvard: 38 Thomas Aiken - Whitefish Bay, Wisconsin (JR-D)"
44,"Michael Floodstrand","SO","F","Hinsdale, Illinois","Harvard","hinsdale illinois","Harvard: 44 Michael Floodstrand - Hinsdale, Illinois (SO-F)"
71,"Fr deric Gregoire","FR","F","Saint-Lambert, Quebec","Harvard","saintlambert quebec","Harvard: 71 Fr deric Gregoire - Saint-Lambert, Quebec (FR-F)"
72,"Phil Zielonka","SR","F","Montreal, Quebec","Harvard","montreal quebec","Harvard: 72 Phil Zielonka - Montreal, Quebec (SR-F)"
77,"Lewis Zerter-Gossage","SO","F","Montreal, Quebec","Harvard","montreal quebec","Harvard: 77 Lewis Zerter-Gossage - Montreal, Quebec (SO-F)"
1,"Tommy Nixon","SO","G","Sherwood Park, Alberta","Holy Cross","sherwood park alberta","Holy Cross: 01 Tommy Nixon - Sherwood Park, Alberta (SO-G)"
2,"Patrick O'Leary","FR","D","Norfolk, Massachusetts","Holy Cross","norfolk massachusetts","Holy Cross: 02 Patrick O'Leary - Norfolk, Massachusetts (FR-D)"
4,"Dalton Skelly","FR","D","Keller, Texas","Holy Cross","keller texas","Holy Cross: 04 Dalton Skelly - Keller, Texas (FR-D)"
5,"Spencer Trapp","SO","D","White City, Saskatchewan","Holy Cross","white city saskatchewan","Holy Cross: 05 Spencer Trapp - White City, Saskatchewan (SO-D)"
7,"Johnny Coughlin","SO","D","Fairport, New York","Holy Cross","fairport new york","Holy Cross: 07 Johnny Coughlin - Fairport, New York (SO-D)"
8,"Will Brophy","FR","D","Fairfield, Connecticut","Holy Cross","fairfield connecticut","Holy Cross: 08 Will Brophy - Fairfield, Connecticut (FR-D)"
10,"Kevin Darrar","FR","F","Monroe Township, New Jersey","Holy Cross","monroe township new jersey","Holy Cross: 10 Kevin Darrar - Monroe Township, New Jersey (FR-F)"
11,"Michael Laffin","SO","F","Hopewell Junction, New York","Holy Cross","hopewell junction new york","Holy Cross: 11 Michael Laffin - Hopewell Junction, New York (SO-F)"
12,"Scott Pooley","JR","F","Granger, Indiana","Holy Cross","granger indiana","Holy Cross: 12 Scott Pooley - Granger, Indiana (JR-F)"
13,"Peter Crinella","SO","F","East Longmeadow, Massachusetts","Holy Cross","east longmeadow massachusetts","Holy Cross: 13 Peter Crinella - East Longmeadow, Massachusetts (SO-F)"
14,"Matt Scarth","JR","F","Calgary, Alberta","Holy Cross","calgary alberta","Holy Cross: 14 Matt Scarth - Calgary, Alberta (JR-F)"
15,"Charlie Barrow","FR","D","Belmont, Massachusetts","Holy Cross","belmont massachusetts","Holy Cross: 15 Charlie Barrow - Belmont, Massachusetts (FR-D)"
17,"T.J. Moore","JR","F","Edina, Minnesota","Holy Cross","edina minnesota","Holy Cross: 17 T.J. Moore - Edina, Minnesota (JR-F)"
18,"Jay Mackie","SO","F","Kingston, Ontario","Holy Cross","kingston ontario","Holy Cross: 18 Jay Mackie - Kingston, Ontario (SO-F)"
19,"Owen Powers","FR","F","Cheshire, Connecticut","Holy Cross","cheshire connecticut","Holy Cross: 19 Owen Powers - Cheshire, Connecticut (FR-F)"
21,"Neil Robinson","FR","F","Pointe-Claire, Qu<U+FFFD>bec","Holy Cross","pointeclaire qu<U+FFFD>bec","Holy Cross: 21 Neil Robinson - Pointe-Claire, Qu<U+FFFD>bec (FR-F)"
22,"Jack Surowiec","FR","F","Louisville, Kentucky","Holy Cross","louisville kentucky","Holy Cross: 22 Jack Surowiec - Louisville, Kentucky (FR-F)"
23,"Ryan Ferrill","JR","F","Havertown, Pennsylvania","Holy Cross","havertown pennsylvania","Holy Cross: 23 Ryan Ferrill - Havertown, Pennsylvania (JR-F)"
24,"Tommy Muratore","JR","D","Mendham, New Jersey","Holy Cross","mendham new jersey","Holy Cross: 24 Tommy Muratore - Mendham, New Jersey (JR-D)"
27,"Danny Lopez","JR","F","Barrington Hills, Illinois","Holy Cross","barrington hills illinois","Holy Cross: 27 Danny Lopez - Barrington Hills, Illinois (JR-F)"
29,"Mike Barrett","SR","F","Orland Park, Illinois","Holy Cross","orland park illinois","Holy Cross: 29 Mike Barrett - Orland Park, Illinois (SR-F)"
32,"Jack Parsons","JR","G","Tilton, New Hampshire","Holy Cross","tilton new hampshire","Holy Cross: 32 Jack Parsons - Tilton, New Hampshire (JR-G)"
33,"Logan Smith","SR","D","Littleton, Colorado","Holy Cross","littleton colorado","Holy Cross: 33 Logan Smith - Littleton, Colorado (SR-D)"
34,"Anthony Tirabassi","FR","G","Niagara Falls, New York","Holy Cross","niagara falls new york","Holy Cross: 34 Anthony Tirabassi - Niagara Falls, New York (FR-G)"
36,"Paul Berrafato","JR","G","Williamsville, New York","Holy Cross","williamsville new york","Holy Cross: 36 Paul Berrafato - Williamsville, New York (JR-G)"
37,"Brett Mulcahy","JR","F","Kelowna, British Columbia","Holy Cross","kelowna british columbia","Holy Cross: 37 Brett Mulcahy - Kelowna, British Columbia (JR-F)"
39,"Mitch Collett","SO","F","Calgary, Alberta","Holy Cross","calgary alberta","Holy Cross: 39 Mitch Collett - Calgary, Alberta (SO-F)"
1,"Cooper Lukenda","FR","G","Sault Ste. Marie, Ontario","Lake Superior State","sault ste marie ontario","Lake Superior State: 01 Cooper Lukenda - Sault Ste. Marie, Ontario (FR-G)"
2,"Ryan Renz","JR","D","Castlegar, British Columbia","Lake Superior State","castlegar british columbia","Lake Superior State: 02 Ryan Renz - Castlegar, British Columbia (JR-D)"
3,"Luke Morgan","FR","F","Brighton, Michigan","Lake Superior State","brighton michigan","Lake Superior State: 03 Luke Morgan - Brighton, Michigan (FR-F)"
4,"Kris Bindulis","FR","D","Riga, Latvia","Lake Superior State","riga latvia","Lake Superior State: 04 Kris Bindulis - Riga, Latvia (FR-D)"
6,"James Roll","JR","D","West Seneca, New York","Lake Superior State","west seneca new york","Lake Superior State: 06 James Roll - West Seneca, New York (JR-D)"
7,"J.T. Henke","JR","F","Trenton, Michigan","Lake Superior State","trenton michigan","Lake Superior State: 07 J.T. Henke - Trenton, Michigan (JR-F)"
8,"Diego Cuglietta","SO","F","Kamloops, British Columbia","Lake Superior State","kamloops british columbia","Lake Superior State: 08 Diego Cuglietta - Kamloops, British Columbia (SO-F)"
10,"Brendan McKay","FR","F","Toronto, Ontario","Lake Superior State","toronto ontario","Lake Superior State: 10 Brendan McKay - Toronto, Ontario (FR-F)"
11,"Brayden Gelsinger","FR","F","Regina, Saskatchewan","Lake Superior State","regina saskatchewan","Lake Superior State: 11 Brayden Gelsinger - Regina, Saskatchewan (FR-F)"
12,"Kyle Chatham","JR","D","Belleville, Illinois","Lake Superior State","belleville illinois","Lake Superior State: 12 Kyle Chatham - Belleville, Illinois (JR-D)"
13,"Gus Correale","SR","F","Prince George, British Columbia","Lake Superior State","prince george british columbia","Lake Superior State: 13 Gus Correale - Prince George, British Columbia (SR-F)"
14,"Ian Johnston","FR","F","Ottawa, Ontario","Lake Superior State","ottawa ontario","Lake Superior State: 14 Ian Johnston - Ottawa, Ontario (FR-F)"
15,"Jake Hand","SO","F","Milton, Ontario","Lake Superior State","milton ontario","Lake Superior State: 15 Jake Hand - Milton, Ontario (SO-F)"
