"Rk","Player","Start.Year","End.Date","Position","GP","G","A","PTS","Plus-Minus","PIM","W","L","TO","SV","GAA","Birthplace","Birth.Date","Death.Date"
"628","Jacques Plante*","1953","1973","G","837","0","8","8","0","92","437","246","145","","2.38","Shawinigan Falls","1929-01-17","1986-02-27"
"629","Pierre Plante","1972","1980","RW","599","125","172","297","-29","599","","","","","","Valleyfield","1951-05-14",""
"630","Michel Plasse","1971","1982","G","299","0","9","9","0","62","92","136","54","","3.79","Montreal","1948-06-01","2006-12-30"
"631","Adrien Plavsic","1990","1997","D","214","16","56","72","13","161","","","","","","Montreal","1970-01-13",""
"632","Emile Poirier","2015","2016","LW","8","0","1","1","0","2","","","","","","Montreal","1994-12-14",""
"633","Jame Pollock","2004","2004","D","9","0","0","0","-1","6","","","","","","Quebec City","1979-06-16",""
"634","Jason Pominville","2004","2017","RW","895","259","398","657","63","187","","","","","","Repentigny","1982-11-30",""
"635","Felix Potvin","1992","2004","G","635","0","16","16","0","82","266","260","85",".905","2.76","Anjou","1971-06-23",""
"636","Daniel Poudrier","1986","1988","D","25","1","5","6","-1","10","","","","","","Thetford Mines","1964-02-15",""
"637","Daniel Poulin","1982","1982","D","3","1","1","2","1","2","","","","","","Robertsville","1957-09-19","2015-01-02"
"638","Kevin Poulin","2011","2015","G","50","0","1","1","0","0","18","25","3",".899","3.07","Montreal","1990-04-12",""
"639","Patrick Poulin","1992","2002","C","634","101","134","235","-30","299","","","","","","Vanier","1973-04-23",""
"640","Marc Pouliot","2006","2012","C","192","21","36","57","-9","76","","","","","","Quebec","1985-05-22",""
"641","Yves Preston","1979","1981","LW","28","7","3","10","-1","4","","","","","","Montreal","1956-06-14",""
"642","Andre Pronovost","1957","1968","LW","556","94","104","198","0","408","","","","","","Shawinigan Falls","1936-07-09",""
"643","Claude Pronovost","1956","1959","G","3","0","0","0","","2","1","1","0","","3.50","Shawinigan Falls","1935-07-22",""
"644","Jean Pronovost","1969","1982","RW","998","391","383","774","49","413","","","","","","Shawinigan Falls","1945-12-18",""
"645","Marcel Pronovost*","1951","1970","D","1206","88","257","345","3","851","","","","","","Lac-de-Tortue","1930-06-15","2015-04-26"
"646","Christian Proulx","1994","1994","D","7","1","2","3","0","20","","","","","","Sherbrooke","1973-12-10",""
"647","Claude Provost","1956","1970","RW","1005","254","335","589","35","469","","","","","","Montreal","1933-09-17","1984-04-17"
"648","Jean Pusie","1931","1936","D","61","1","4","5","","28","","","","","","Montreal","1910-10-15","1956-04-21"
"649","Leo Quenneville","1930","1930","LW/C","25","0","3","3","","10","","","","","","St-Anicet","1900-06-15","1986-04-09"
"650","Stephane Quintal","1989","2004","D","1037","63","180","243","-89","1320","","","","","","Boucherville","1968-10-22",""
"651","Jean-Francois Quintin","1992","1993","LW","22","5","5","10","-2","4","","","","","","St-Jean","1969-05-28",""
"652","Andre Racicot","1990","1994","G","68","0","2","2","0","6","26","23","8",".880","3.50","Rouyn-Noranda","1969-06-09",""
